id,jp,model,alts
1,その本はよく読まれています．,The book is widely read.,
2,その絵は父によって描かれました．,The picture was painted by my father.,※drawnは線画限定。一般的に絵を描くはpaint
3,カナダでは英語とフランス語が話されている．,English and French are spoken in Canada.,"In Canada, English and French are spoken."
4,多くの若者がその戦争で亡くなった．,Many young people were killed in the war.,※byではない
5,私たちは結婚式に招かれませんでした．,We were not invited to the wedding.,were not=>weren't
6,君のさいふは昨日見つかったのですか．,Was your wallet found yesterday?,
7,この記事はいつ発表されたのですか．,When was this article published?,
8,今夜はたくさんの星が見られます．,A lot of stars can be seen tonight.,A lot of=>Many
9,送別会［さよならパーティー］は来月開催されます．,The farewell party will be held next month.,
10,コンサートの日はすでに決定しています．,The date for the concert has already been decided.,for=>of
11,お手洗いはただ今清掃中〔←掃除されているところ〕です．,The restroom is being cleaned now.,
12,私はその腕時計を兄にもらった．,I was given the watch by my brother.,
13,その腕時計は兄が私にくれたものだ．,The watch was given to me by my brother.,
14,バラは花の女王と呼ばれる．,Roses are called the queen of flowers.,
15,彼の名は多くの音楽愛好家に知られている．,His name is known to a lot of music lovers.,a lot of=>many|※byではない
16,富士山の頂上は毎年この時期はたいてい雪で覆われています．,The top of Mt. Fuji is usually covered with snow at this time of year.,※byではない
17,私はその音に〔→その音を聞いて〕驚いた．,I was surprised at the sound.,
18,彼はサッカーの天才だそうだ．(They…),They say that he is a genius in soccer.,
19,彼はサッカーの天才だそうだ．(It…),It is said that he is a genius in soccer.,
20,彼はサッカーの天才だそうだ．(He…),He is said to be a genius in soccer.,
21,私は知らない人に話しかけられた．,I was spoken to by a stranger.,
